model,rep,fold,accuracy,precision,recall,f1,roc_auc,pr_auc
RWR,1,0,78.714859437751,100.0,14.516129032258066,25.352112676056336,0.9875797826461964,0.9674885785901639
LogReg,1,0,98.79518072289156,96.82539682539682,98.38709677419355,97.6,0.9997412454717957,0.9992358220603537
RandomForest,1,0,99.19678714859438,100.0,96.7741935483871,98.36065573770492,0.9996549939623943,0.9989954374449692
GradBoost,1,0,99.59839357429718,100.0,98.38709677419355,99.1869918699187,0.9998274969811972,0.9994959677419355
MLP,1,0,99.19678714859438,100.0,96.7741935483871,98.36065573770492,0.9996549939623943,0.9990224828934506
GCN,1,0,89.1566265060241,70.58823529411765,96.7741935483871,81.63265306122449,0.9795583922718648,0.9461485778899349
GraphSAGE,1,0,100.0,100.0,100.0,100.0,1.0,1.0
GAT-LR,1,0,95.98393574297188,89.39393939393939,95.16129032258065,92.1875,0.9950836639641194,0.9853447381078996
Majority,1,1,75.1004016064257,0.0,0.0,0.0,0.5,0.24899598393574296
Centrality:DEGREE,1,1,76.30522088353415,100.0,4.838709677419355,9.230769230769232,0.9935311367948939,0.9808663785830563
Centrality:BETWEENNESS,1,1,75.90361445783132,100.0,3.225806451612903,6.25,0.8625150940141453,0.7038165456639466
Centrality:CLOSENESS,1,1,53.01204819277109,34.63687150837989,100.0,51.45228215767634,0.9586855269967224,0.9002041410041887
Centrality:EIGENVECTOR,1,1,76.70682730923694,100.0,6.451612903225806,12.121212121212121,0.9850784888735552,0.955652398714479
Centrality:CLUSTERING,1,1,66.26506024096386,10.714285714285714,4.838709677419355,6.666666666666667,0.581162670346731,0.2671545708654107
RWR,1,1,76.30522088353415,100.0,4.838709677419355,9.230769230769232,0.9693807141624979,0.92481045253651
LogReg,1,1,98.39357429718876,93.93939393939394,100.0,96.875,0.997498706227359,0.9918182156964876
RandomForest,1,1,97.18875502008032,96.61016949152543,91.93548387096774,94.21487603305785,0.9968086941521477,0.9909499381822893
GradBoost,1,1,97.59036144578313,98.27586206896551,91.93548387096774,95.0,0.9978437122649646,0.9933629189152016
MLP,1,1,97.99196787148594,95.23809523809523,96.7741935483871,96.0,0.9978437122649647,0.9928594579445067
GCN,1,1,72.28915662650603,47.199999999999996,95.16129032258065,63.101604278074866,0.9206486113506986,0.8282783684255357
GraphSAGE,1,1,97.18875502008032,92.3076923076923,96.7741935483871,94.48818897637796,0.996894945661549,0.9912179034834696
GAT-LR,1,1,97.18875502008032,95.08196721311475,93.54838709677419,94.3089430894309,0.9946524064171123,0.9809683368313831
Majority,1,2,75.1004016064257,0.0,0.0,0.0,0.5,0.24899598393574296
Centrality:DEGREE,1,2,84.73895582329317,100.0,38.70967741935484,55.81395348837209,0.9946524064171123,0.9820744266052446
Centrality:BETWEENNESS,1,2,75.1004016064257,50.0,1.6129032258064515,3.125,0.8893393134379851,0.721719897646591
Centrality:CLOSENESS,1,2,46.58634538152611,31.794871794871792,100.0,48.249027237354085,0.9773158530274281,0.9390598448597345
Centrality:EIGENVECTOR,1,2,82.73092369477911,100.0,30.64516129032258,46.913580246913575,0.9945661549077109,0.9835295644190568
Centrality:CLUSTERING,1,2,63.85542168674698,13.157894736842104,8.064516129032258,10.0,0.4791271347248577,0.22174233814100017
RWR,1,2,87.14859437751004,100.0,48.38709677419355,65.21739130434783,0.9739520441607729,0.9308121447267154
LogReg,1,2,96.78714859437751,88.57142857142857,100.0,93.93939393939394,0.9993962394341901,0.998316704413295
RandomForest,1,2,97.99196787148594,92.53731343283582,100.0,96.12403100775194,0.998964981887183,0.9969499526367922
GradBoost,1,2,97.99196787148594,93.84615384615384,98.38709677419355,96.06299212598425,0.9982749698119717,0.9949648164645534
MLP,1,2,97.59036144578313,93.75,96.7741935483871,95.23809523809523,0.9983612213213732,0.995547416527195
GCN,1,2,78.714859437751,54.054054054054056,96.7741935483871,69.36416184971098,0.9791271347248577,0.9625527452032219
GraphSAGE,1,2,98.79518072289156,95.38461538461539,100.0,97.63779527559055,0.9998274969811971,0.9994838379333696
GAT-LR,1,2,96.3855421686747,100.0,85.48387096774194,92.17391304347827,0.9955149215111264,0.9901774946789723
Majority,1,3,75.1004016064257,0.0,0.0,0.0,0.5,0.24899598393574296
Centrality:DEGREE,1,3,77.10843373493977,100.0,8.064516129032258,14.925373134328357,0.9966793168880456,0.9889062921943965
Centrality:BETWEENNESS,1,3,75.50200803212851,100.0,1.6129032258064515,3.1746031746031744,0.9365188890805589,0.8579524316102639
Centrality:CLOSENESS,1,3,57.831325301204814,37.12574850299401,100.0,54.14847161572053,0.9872347766085906,0.9661037700733828
Centrality:EIGENVECTOR,1,3,78.3132530120482,100.0,12.903225806451612,22.857142857142858,0.9954286700017251,0.985895474217722
Centrality:CLUSTERING,1,3,67.06827309236948,8.333333333333332,3.225806451612903,4.651162790697675,0.5175090564084871,0.23380041813166014
RWR,1,3,76.70682730923694,100.0,6.451612903225806,12.121212121212121,0.9841297222701397,0.9610128066769946
LogReg,1,3,97.59036144578313,91.17647058823529,100.0,95.38461538461539,0.9992237364153873,0.9977104261719897
RandomForest,1,3,98.39357429718876,93.93939393939394,100.0,96.875,0.999698119717095,0.9989954374449692
GradBoost,1,3,98.39357429718876,93.93939393939394,100.0,96.875,0.9997412454717958,0.9992358220603537
MLP,1,3,98.39357429718876,95.3125,98.38709677419355,96.82539682539682,0.9992237364153873,0.9978004069598929
GCN,1,3,91.16465863453816,75.0,96.7741935483871,84.50704225352112,0.990426082456443,0.9766651378153688
GraphSAGE,1,3,98.79518072289156,95.38461538461539,100.0,97.63779527559055,0.999568742452993,0.9987435503564535
GAT-LR,1,3,95.58232931726907,84.93150684931507,100.0,91.85185185185185,0.9807659134034846,0.8991248711099671
Majority,1,4,74.69879518072288,0.0,0.0,0.0,0.5,0.25301204819277107
Centrality:DEGREE,1,4,77.10843373493977,100.0,9.523809523809524,17.391304347826086,0.9973544973544973,0.9917120226766758
Centrality:BETWEENNESS,1,4,75.1004016064257,100.0,1.5873015873015872,3.125,0.9286567673664448,0.8233789641435698
Centrality:CLOSENESS,1,4,73.09236947791165,48.46153846153846,100.0,65.28497409326425,0.9834442737668544,0.956073954132562
Centrality:EIGENVECTOR,1,4,79.11646586345381,100.0,17.46031746031746,29.72972972972973,0.9938556067588326,0.9825694031717569
