experiment,T,pctl,rep,fold,test_positive_rate,model,accuracy,precision,recall,f1,roc_auc,pr_auc,task_seconds
residual,2,75,0,3,0.2570281124497992,Majority,74.29718875502009,0.0,0.0,0.0,0.5,0.2570281124497992,196.6
residual,2,75,0,3,0.2570281124497992,Degree,72.28915662650603,36.84210526315789,10.9375,16.867469879518072,0.5343327702702703,0.3348611048561039,196.6
residual,2,75,0,3,0.2570281124497992,Eigenvector,74.29718875502009,50.0,7.8125,13.513513513513514,0.6561655405405405,0.41928502759183744,196.6
residual,2,75,0,3,0.2570281124497992,LogReg,78.714859437751,56.17977528089888,78.125,65.359477124183,0.8684121621621621,0.7103021215811601,196.6
residual,2,75,0,3,0.2570281124497992,RandomForest,85.94377510040161,70.4225352112676,78.125,74.07407407407408,0.9182854729729728,0.816405679918615,196.6
residual,2,75,0,3,0.2570281124497992,MLP,84.73895582329317,74.07407407407408,62.5,67.79661016949152,0.9146114864864865,0.794111229070734,196.6
residual,2,75,0,3,0.2570281124497992,GCN,75.90361445783132,52.32558139534884,70.3125,60.0,0.8514358108108108,0.6830290374406978,196.6
residual,2,75,0,3,0.2570281124497992,GraphSAGE,87.95180722891565,70.23809523809523,92.1875,79.72972972972973,0.9471283783783784,0.8733860503224518,196.6
residual,2,75,0,3,0.2570281124497992,GAT-LR,82.32931726907631,61.36363636363637,84.375,71.05263157894737,0.9029560810810812,0.7736702715147644,196.6
residual,2,75,0,3,0.2570281124497992,GAT-LR+skip,89.95983935742971,80.95238095238095,79.6875,80.31496062992126,0.9474662162162162,0.8722588514671501,196.6
residual,2,75,1,0,0.2570281124497992,Majority,74.29718875502009,0.0,0.0,0.0,0.5,0.2570281124497992,197.0
residual,2,75,1,0,0.2570281124497992,Degree,75.1004016064257,75.0,4.6875,8.823529411764707,0.49193412162162153,0.30045096100739693,197.0
residual,2,75,1,0,0.2570281124497992,Eigenvector,74.69879518072288,57.14285714285714,6.25,11.267605633802818,0.6238175675675676,0.36421933227543224,197.0
residual,2,75,1,0,0.2570281124497992,LogReg,78.714859437751,55.78947368421052,82.8125,66.66666666666666,0.8411317567567568,0.6754477115589272,197.0
residual,2,75,1,0,0.2570281124497992,RandomForest,85.54216867469879,71.875,71.875,71.875,0.8932432432432432,0.7676122943382937,197.0
residual,2,75,1,0,0.2570281124497992,MLP,86.74698795180723,76.27118644067797,70.3125,73.17073170731707,0.9190878378378378,0.7870930389209942,197.0
residual,2,75,1,0,0.2570281124497992,GCN,76.30522088353415,53.62318840579711,57.8125,55.639097744360896,0.771875,0.5081743157559936,197.0
residual,2,75,1,0,0.2570281124497992,GraphSAGE,84.73895582329317,65.47619047619048,85.9375,74.32432432432432,0.9288006756756757,0.7970483857124654,197.0
residual,2,75,1,0,0.2570281124497992,GAT-LR,72.69076305220884,48.148148148148145,81.25,60.46511627906976,0.8572635135135135,0.7007476347374089,197.0
residual,2,75,1,0,0.2570281124497992,GAT-LR+skip,85.54216867469879,66.27906976744185,89.0625,76.0,0.9278716216216215,0.7816538740504025,197.0
residual,2,75,0,2,0.2570281124497992,Majority,74.29718875502009,0.0,0.0,0.0,0.5,0.2570281124497992,197.3
residual,2,75,0,2,0.2570281124497992,Degree,70.68273092369478,9.090909090909092,1.5625,2.666666666666667,0.5087415540540541,0.25204742315642553,197.3
residual,2,75,0,2,0.2570281124497992,Eigenvector,70.68273092369478,33.33333333333333,14.0625,19.78021978021978,0.6423141891891893,0.3283926134860038,197.3
residual,2,75,0,2,0.2570281124497992,LogReg,75.90361445783132,51.886792452830186,85.9375,64.70588235294117,0.870777027027027,0.744721841518376,197.3
residual,2,75,0,2,0.2570281124497992,RandomForest,87.55020080321285,72.6027397260274,82.8125,77.37226277372264,0.9188766891891892,0.7767394223843589,197.3
residual,2,75,0,2,0.2570281124497992,MLP,87.14859437751004,75.0,75.0,75.0,0.9337837837837838,0.824459616942459,197.3
residual,2,75,0,2,0.2570281124497992,GCN,73.49397590361446,48.529411764705884,51.5625,50.0,0.771875,0.4545676660879841,197.3
residual,2,75,0,2,0.2570281124497992,GraphSAGE,85.94377510040161,65.93406593406593,93.75,77.41935483870968,0.9575168918918918,0.8721787225379215,197.3
residual,2,75,0,2,0.2570281124497992,GAT-LR,73.49397590361446,49.166666666666664,92.1875,64.13043478260869,0.8967060810810811,0.7556750668318066,197.3
residual,2,75,0,2,0.2570281124497992,GAT-LR+skip,86.74698795180723,67.41573033707866,93.75,78.43137254901961,0.9601351351351352,0.8986886161099907,197.3
residual,2,75,0,1,0.24899598393574296,Majority,75.1004016064257,0.0,0.0,0.0,0.5,0.24899598393574296,198.4
