experiment,T,pctl,rep,fold,test_positive_rate,model,accuracy,precision,recall,f1,roc_auc,pr_auc,task_seconds
horizon,1,75,0,0,0.24899598393574296,Majority,75.1004016064257,0.0,0.0,0.0,0.5,0.24899598393574296,100.6
horizon,1,75,0,0,0.24899598393574296,Degree,77.10843373493977,100.0,8.064516129032258,14.925373134328357,0.9993099879247886,0.9973198838987247,100.6
horizon,1,75,0,0,0.24899598393574296,Eigenvector,77.91164658634538,100.0,11.29032258064516,20.28985507246377,0.9826634466103157,0.9498380207713246,100.6
horizon,1,75,0,0,0.24899598393574296,LogReg,96.78714859437751,88.57142857142857,100.0,93.93939393939394,0.9989649818871831,0.9969618225851278,100.6
horizon,1,75,0,0,0.24899598393574296,RandomForest,98.39357429718876,95.3125,98.38709677419355,96.82539682539682,0.9987924788683802,0.9966543334466272,100.6
horizon,1,75,0,0,0.24899598393574296,MLP,97.99196787148594,93.84615384615384,98.38709677419355,96.06299212598425,0.9993962394341901,0.998316704413295,100.6
horizon,1,75,0,0,0.24899598393574296,GCN,83.13253012048193,60.86956521739131,90.32258064516128,72.72727272727273,0.9597205451095394,0.8944183678507449,100.6
horizon,1,75,0,0,0.24899598393574296,GraphSAGE,97.99196787148594,93.84615384615384,98.38709677419355,96.06299212598425,0.9993962394341901,0.998316704413295,100.6
horizon,1,75,0,0,0.24899598393574296,GAT-LR,92.7710843373494,77.5,100.0,87.32394366197182,0.9610143177505607,0.8007637281038973,100.6
horizon,1,75,0,1,0.24899598393574296,Majority,75.1004016064257,0.0,0.0,0.0,0.5,0.24899598393574296,101.1
horizon,1,75,0,1,0.24899598393574296,Degree,77.91164658634538,100.0,11.29032258064516,20.28985507246377,0.9994824909435914,0.9977722753360692,101.1
horizon,1,75,0,1,0.24899598393574296,Eigenvector,78.714859437751,100.0,14.516129032258066,25.352112676056336,0.9899948249094359,0.9737174486232596,101.1
horizon,1,75,0,1,0.24899598393574296,LogReg,98.39357429718876,96.7741935483871,96.7741935483871,96.7741935483871,0.9987924788683802,0.9966543334466271,101.1
horizon,1,75,0,1,0.24899598393574296,RandomForest,99.19678714859438,98.38709677419355,98.38709677419355,98.38709677419355,0.9977574607555633,0.9951069227981153,101.1
horizon,1,75,0,1,0.24899598393574296,MLP,98.79518072289156,100.0,95.16129032258065,97.52066115702479,0.9997412454717958,0.9992555831265508,101.1
horizon,1,75,0,1,0.24899598393574296,GCN,85.14056224899599,63.44086021505376,95.16129032258065,76.12903225806451,0.980420907365879,0.9658625003251458,101.1
horizon,1,75,0,1,0.24899598393574296,GraphSAGE,99.19678714859438,98.38709677419355,98.38709677419355,98.38709677419355,0.9999137484905986,0.9997439836149513,101.1
horizon,1,75,0,1,0.24899598393574296,GAT-LR,97.18875502008032,93.65079365079364,95.16129032258065,94.39999999999999,0.9872347766085907,0.9617404642033051,101.1
horizon,1,75,0,4,0.24899598393574296,Majority,75.1004016064257,0.0,0.0,0.0,0.5,0.24899598393574296,99.3
horizon,1,75,0,4,0.24899598393574296,Degree,79.11646586345381,100.0,16.129032258064516,27.77777777777778,0.9998274969811972,0.9989919354838709,99.3
horizon,1,75,0,4,0.24899598393574296,Eigenvector,80.32128514056225,100.0,20.967741935483872,34.66666666666667,0.9810246679316887,0.9480868606955396,99.3
horizon,1,75,0,4,0.24899598393574296,LogReg,96.78714859437751,89.70588235294117,98.38709677419355,93.84615384615384,0.9981887183025703,0.9949389588879558,99.3
horizon,1,75,0,4,0.24899598393574296,RandomForest,99.19678714859438,96.875,100.0,98.4126984126984,0.9996549939623943,0.9989839349718381,99.3
horizon,1,75,0,4,0.24899598393574296,MLP,98.79518072289156,98.36065573770492,96.7741935483871,97.5609756097561,0.9998274969811971,0.9994838379333697,99.3
horizon,1,75,0,4,0.24899598393574296,GCN,82.32931726907631,59.375,91.93548387096774,72.15189873417721,0.9641193720890116,0.9372211513779664,99.3
horizon,1,75,0,4,0.24899598393574296,GraphSAGE,99.19678714859438,96.875,100.0,98.4126984126984,0.9997412454717958,0.9992358220603539,99.3
horizon,1,75,0,4,0.24899598393574296,GAT-LR,95.58232931726907,86.95652173913044,96.7741935483871,91.6030534351145,0.9911160945316543,0.9741364779108697,99.3
horizon,1,75,0,2,0.24899598393574296,Majority,75.1004016064257,0.0,0.0,0.0,0.5,0.24899598393574296,101.6
horizon,1,75,0,2,0.24899598393574296,Degree,79.51807228915662,100.0,17.741935483870968,30.136986301369863,1.0,1.0,101.6
horizon,1,75,0,2,0.24899598393574296,Eigenvector,77.91164658634538,100.0,11.29032258064516,20.28985507246377,0.9857685009487666,0.9609215181251082,101.6
horizon,1,75,0,2,0.24899598393574296,LogReg,98.39357429718876,93.93939393939394,100.0,96.875,0.9996549939623943,0.9989506103641823,101.6
horizon,1,75,0,2,0.24899598393574296,RandomForest,99.59839357429718,98.4126984126984,100.0,99.2,1.0,1.0,101.6
