stringId_A	stringId_B	preferredName_A	preferredName_B	ncbiTaxonId	score	nscore	fscore	pscore	ascore	escore	dscore	tscore
9606.ENSP00000011619	9606.ENSP00000347836	RANBP9	UBE2H	9606	0.519	0	0	0	0.102	0	0	0.487
9606.ENSP00000011619	9606.ENSP00000352882	RANBP9	PLXNA4	9606	0.521	0	0	0	0	0	0	0.521
9606.ENSP00000011619	9606.ENSP00000343535	RANBP9	USP7	9606	0.532	0	0	0	0.227	0.292	0	0.212
9606.ENSP00000011619	9606.ENSP00000358696	RANBP9	PLXNA3	9606	0.558	0	0	0	0	0	0	0.558
9606.ENSP00000011619	9606.ENSP00000363822	RANBP9	AR	9606	0.588	0	0	0	0	0.51	0	0.194
9606.ENSP00000011619	9606.ENSP00000359506	RANBP9	FMR1	9606	0.597	0	0	0	0.252	0.352	0	0.236
9606.ENSP00000011619	9606.ENSP00000277120	RANBP9	NTRK2	9606	0.631	0	0	0	0	0.292	0	0.501
9606.ENSP00000011619	9606.ENSP00000317272	RANBP9	MET	9606	0.716	0	0	0	0.042	0.292	0.4	0.384
9606.ENSP00000011619	9606.ENSP00000431418	RANBP9	NTRK1	9606	0.725	0	0	0	0	0.06	0	0.72
9606.ENSP00000011619	9606.ENSP00000498603	RANBP9	WDR26	9606	0.996	0	0	0	0.543	0.972	0	0.715
9606.ENSP00000012443	9606.ENSP00000476136	PPP5C	H2BC11	9606	0.4	0	0	0	0	0	0.4	0
9606.ENSP00000012443	9606.ENSP00000407586	PPP5C	HRAS	9606	0.426	0	0	0	0.075	0.049	0.4	0
9606.ENSP00000012443	9606.ENSP00000261609	PPP5C	HERC2	9606	0.442	0	0	0	0.067	0.052	0.4	0.073
9606.ENSP00000012443	9606.ENSP00000389715	PPP5C	KSR2	9606	0.452	0	0	0	0.055	0.431	0	0.064
9606.ENSP00000012443	9606.ENSP00000264335	PPP5C	YWHAE	9606	0.452	0	0	0	0.098	0.07	0	0.4
9606.ENSP00000012443	9606.ENSP00000372351	PPP5C	NSD2	9606	0.464	0	0	0	0.066	0.072	0.4	0.091
9606.ENSP00000012443	9606.ENSP00000417963	PPP5C	PPP2R5D	9606	0.466	0	0	0	0.238	0.1	0	0.284
9606.ENSP00000012443	9606.ENSP00000324804	PPP5C	PPP2R1A	9606	0.469	0	0	0	0.109	0.294	0	0.223
9606.ENSP00000012443	9606.ENSP00000263025	PPP5C	MAPK3	9606	0.482	0	0	0	0.061	0	0.4	0.155
9606.ENSP00000012443	9606.ENSP00000362300	PPP5C	AGO1	9606	0.604	0	0	0	0.057	0.292	0	0.455
9606.ENSP00000012443	9606.ENSP00000246957	PPP5C	TRAP1	9606	0.637	0	0	0	0.148	0.499	0	0.218
9606.ENSP00000012443	9606.ENSP00000343925	PPP5C	ESR2	9606	0.663	0	0	0	0	0.3	0.5	0.115
9606.ENSP00000012443	9606.ENSP00000340820	PPP5C	MAPT	9606	0.671	0	0	0	0.042	0.625	0	0.158
9606.ENSP00000012443	9606.ENSP00000377958	PPP5C	CCT4	9606	0.926	0	0	0	0.133	0.166	0.9	0.108
9606.ENSP00000012443	9606.ENSP00000298552	PPP5C	TSC1	9606	0.958	0	0	0	0.077	0.499	0.9	0.2
9606.ENSP00000012443	9606.ENSP00000419060	PPP5C	BRAF	9606	0.979	0	0	0	0.055	0.967	0.4	0.05
9606.ENSP00000055682	9606.ENSP00000417763	NEXMIF	NAA10	9606	0.403	0	0	0	0.049	0	0	0.398
9606.ENSP00000055682	9606.ENSP00000385019	NEXMIF	CACNA1I	9606	0.411	0	0	0	0.074	0	0	0.39
9606.ENSP00000055682	9606.ENSP00000362372	NEXMIF	BRWD3	9606	0.414	0	0	0	0.109	0	0	0.37
9606.ENSP00000055682	9606.ENSP00000345029	NEXMIF	FAM47A	9606	0.45	0	0	0	0.049	0	0	0.446
9606.ENSP00000055682	9606.ENSP00000328059	NEXMIF	RLIM	9606	0.771	0	0.397	0	0.09	0	0	0.616
9606.ENSP00000056233	9606.ENSP00000264414	NFE2L3	CUL3	9606	0.493	0	0	0	0.049	0.05	0	0.484
9606.ENSP00000056233	9606.ENSP00000309555	NFE2L3	HCFC1	9606	0.629	0	0	0	0.055	0.601	0	0.095
9606.ENSP00000075503	9606.ENSP00000494277	STYK1	PATJ	9606	0.642	0	0	0	0.061	0	0	0.635
9606.ENSP00000159111	9606.ENSP00000497479	KDM4B	MYT1L	9606	0.401	0	0	0	0.074	0	0	0.379
9606.ENSP00000159111	9606.ENSP00000363822	KDM4B	AR	9606	0.403	0	0	0	0.047	0.091	0	0.366
9606.ENSP00000159111	9606.ENSP00000376204	KDM4B	ASH1L	9606	0.413	0	0	0	0.048	0	0	0.408
9606.ENSP00000159111	9606.ENSP00000356233	KDM4B	KDM5B	9606	0.417	0	0	0	0.078	0.07	0	0.374
9606.ENSP00000159111	9606.ENSP00000264515	KDM4B	RBBP5	9606	0.426	0	0	0	0	0.292	0	0.222
9606.ENSP00000159111	9606.ENSP00000268712	KDM4B	NCOR1	9606	0.429	0	0	0	0.06	0.292	0	0.212
