gene,sfari_symbols,sfari_score,eagle,syndromic,n_reports
MIB1,MIB1,2.0,3.6,0,11
MINK1,MINK1,3.0,,0,9
MKRN1,MKRN1,3.0,,0,4
MLANA,MLANA,2.0,,0,4
MNT,MNT,2.0,,0,2
MRTFB,MRTFB,2.0,,0,12
MSANTD2,MSANTD2,2.0,,0,2
MSL2,MSL2,3.0,,0,8
MSL3,MSL3,1.0,13.9,1,9
MSR1,MSR1,2.0,,0,5
MSRA,MSRA,3.0,,0,14
MSX2,MSX2,3.0,,1,3
MTF1,MTF1,2.0,,0,6
MTHFR,MTHFR,2.0,,0,28
MTOR,MTOR,1.0,,1,38
MTSS2,MTSS2,,,1,8
MUC12,MUC12,2.0,,0,9
MUC4,MUC4,2.0,,0,12
MYCBP2,MYCBP2,1.0,,0,14
MYH10,MYH10,2.0,,0,10
MYH4,MYH4,2.0,,0,8
MYH9,MYH9,2.0,,0,9
MYLK,MYLK,3.0,,0,6
MYO16,MYO16,2.0,,0,11
MYO1E,MYO1E,2.0,,0,8
MYO5A,MYO5A,2.0,,0,9
MYO5C,MYO5C,2.0,,0,7
MYO7A,MYO7A,3.0,,0,6
MYO9B,MYO9B,2.0,,0,11
MYOCD,MYOCD,3.0,,0,4
MYT1L,MYT1L,1.0,20.35,0,50
NAA10,NAA10,3.0,,1,14
NAA15,NAA15,1.0,31.7,1,34
NAALADL2,NAALADL2,2.0,,0,5
NACC1,NACC1,1.0,2.85,1,13
NASP,NASP,3.0,,0,4
NAV2,NAV2,2.0,,0,14
NAV3,NAV3,2.0,,0,7
NBEA,NBEA,1.0,,1,31
NCAPH2,NCAPH2,3.0,,0,2
NCKAP1,NCKAP1,1.0,24.75,0,21
NCL,NUCLEOLIN,3.0,,0,5
NCOA1,NCOA1,1.0,3.0,0,5
NCOR1,NCOR1,2.0,,0,13
NDUFA5,NDUFA5,2.0,,0,4
NEDD4,NEDD4,3.0,,0,4
NEGR1,NEGR1,2.0,,0,7
NEO1,NEO1,2.0,,0,5
NEXMIF,NEXMIF,1.0,,0,41
NF1,NF1,1.0,9.3,1,50
NFE2L3,NFE2L3,2.0,,0,7
NFIA,NFIA,2.0,,0,20
NFIB,NFIB,2.0,,1,9
NFIX,NFIX,,,1,23
NINL,NINL,2.0,,0,11
NIPA1,NIPA1,2.0,,0,6
NIPA2,NIPA2,2.0,,0,3
NIPBL,NIPBL,1.0,15.8,1,25
NKX2-2,NKX2-2,3.0,,0,3
NLGN1,NLGN1,2.0,,0,25
NLGN2,NLGN2,1.0,3.0,0,19
NLGN3,NLGN3,1.0,6.5,0,60
NLGN4X,NLGN4X,1.0,12.0,0,46
NLGN4Y,NLGN4Y,2.0,,0,6
NOTCH1,NOTCH1,2.0,,0,13
NOVA2,NOVA2,,,1,4
NPAS2,NPAS2,2.0,,0,5
NPAS3,NPAS3,3.0,,0,9
NPFFR2,NPFFR2,3.0,,0,7
NPTN,NPTN,3.0,,0,3
NR1D1,NR1D1,2.0,,0,4
NR2F1,NR2F1,2.0,,1,33
NR3C2,NR3C2,1.0,,1,13
NR4A2,NR4A2,1.0,11.5,0,20
NRCAM,NRCAM,2.0,,0,6
NRP2,NRP2,2.0,,0,11
NRXN1,NRXN1,1.0,143.75,0,128
NRXN2,NRXN2,1.0,7.0,0,20
NRXN3,NRXN3,1.0,11.1,0,32
NSD1,NSD1,1.0,23.4,1,42
NSD2,NSD2,2.0,,1,18
NSMCE3,NSMCE3,2.0,,0,6
NTNG1,NTNG1,2.0,,1,8
NTNG2,NTNG2,,,1,6
NTRK1,NTRK1,2.0,,0,11
NTRK2,NTRK2,,,1,12
NTRK3,NTRK3,2.0,,0,16
NUAK1,NUAK1,2.0,,0,6
NUDCD2,NUDCD2,2.0,,0,4
NUP133,NUP133,2.0,,0,6
NUP155,NUP155,1.0,0.1,0,5
NXF1,NXF1,3.0,,0,2
NXPH1,NXPH1,2.0,,0,6
OCRL,OCRL,,,1,11
OFD1,OFD1,2.0,6.0,0,8
OPHN1,OPHN1,2.0,,0,23
OR1C1,OR1C1,2.0,,0,4
OR2T10,OR2T10,2.0,,0,5
OR52M1,OR52M1,2.0,,0,4
OTUD7A,OTUD7A,2.0,,0,11
OTULIN,OTULIN,3.0,,0,6
OTX1,OTX1,2.0,,0,4
OXT,OXT,2.0,,0,5
OXTR,OXTR,2.0,,0,54
P2RX5,P2RX5,2.0,,0,6
P4HA2,P4HA2,2.0,,0,5
PABPC1,PABPC1,3.0,,1,6
PACS1,PACS1,1.0,1.35,1,24
PACS2,PACS2,,,1,15
PAFAH1B2,PAFAH1B2,2.0,,0,4
PAH,PAH,1.0,,0,14
PAK1,PAK1,,,1,8
PAK2,PAK2,2.0,,0,8
PAPOLG,PAPOLG,2.0,,0,7
PARD3B,PARD3B,2.0,,0,11
PATJ,PATJ,2.0,,0,8
PAX5,PAX5,1.0,5.75,0,10
PAX6,PAX6,,,1,10
PBX1,PBX1,2.0,,0,10
PC,PC,3.0,,0,10
PCCA,PCCA,,,1,15
PCCB,PCCB,1.0,,1,12
PCDH10,PCDH10,2.0,,0,12
PCDH11X,PCDH11X,2.0,1.1,0,5
PCDH15,PCDH15,2.0,,0,15
PCDH19,PCDH19,1.0,,1,72
PCDH9,PCDH9,2.0,,0,14
PCDHA1,PCDHA1,2.0,,0,5
PCDHA10,PCDHA10,2.0,,0,6
PCDHA11,PCDHA11,2.0,,0,6
PCDHA12,PCDHA12,2.0,,0,5
PCDHA13,PCDHA13,2.0,,0,5
PCDHA2,PCDHA2,2.0,,0,7
PCDHA3,PCDHA3,2.0,,0,5
PCDHA4,PCDHA4,2.0,,0,7
PCDHA5,PCDHA5,2.0,,0,9
PCDHA6,PCDHA6,2.0,,0,5
PCDHA7,PCDHA7,2.0,,0,8
PCDHA8,PCDHA8,2.0,,0,6
PCDHA9,PCDHA9,2.0,,0,5
PCDHAC1,PCDHAC1,2.0,,0,6
PCDHAC2,PCDHAC2,2.0,,0,5
PCLO,PCLO,2.0,,0,14
PCM1,PCM1,2.0,,0,6
PDCD1,PDCD1,2.0,,0,5
PDE1C,PDE1C,2.0,,0,3
PDE3B,PDE3B,3.0,,0,9
PDHA1,PDHA1,3.0,,0,8
PDK2,PDK2,2.0,,0,7
PDZD8,PDZD8,,,1,7
PEBP4,PEBP4,3.0,,0,2
PER1,PER1,2.0,,0,11
PER2,PER2,2.0,6.75,0,9
PEX7,PEX7,2.0,,0,5
PHB,PHB1,2.0,,0,1
PHF12,PHF12,1.0,9.5,0,5
PHF14,PHF14,3.0,,0,7
PHF2,PHF2,1.0,4.25,0,8
PHF21A,PHF21A,1.0,5.35,1,23
PHF3,PHF3,1.0,9.75,0,7
PHF7,PHF7,2.0,,0,4
PHF8,PHF8,,,1,19
PHIP,PHIP,1.0,,1,31
PHLPP1,PHLPP1,3.0,,0,8
PHRF1,PHRF1,2.0,,0,5
PIK3CA,PIK3CA,3.0,,0,12
PIK3CG,PIK3CG,2.0,,0,6
PIK3R2,PIK3R2,,,1,11
PITX1,PITX1,2.0,,0,7
PJA1,PJA1,3.0,,1,1
PKD1,PKD1,3.0,,0,11
PLAA,PLAA,3.0,,0,8
PLAUR,PLAUR,2.0,,0,3
PLCB1,PLCB1,2.0,,0,9
PLCD4,PLCD4,2.0,,0,5
PLN,PLN,2.0,,0,5
PLPPR4,PLPPR4,3.0,,0,7
PLXNA3,PLXNA3,2.0,,0,12
PLXNA4,PLXNA4,2.0,,0,8
PLXNB1,PLXNB1,2.0,,0,6
POGZ,POGZ,1.0,35.4,1,81
POLA2,POLA2,2.0,,0,7
POLR2A,POLR2A,3.0,,1,13
POLR3A,POLR3A,3.0,,1,14
POMGNT1,POMGNT1,1.0,1.0,1,10
POMT1,POMT1,2.0,,0,6
PON1,PON1,2.0,,0,5
POT1,POT1,2.0,,0,3
POU3F3,POU3F3,,,1,6
PPFIA1,PPFIA1,2.0,,0,7
PPFIA3,PPFIA3,3.0,,1,8
PPM1D,PPM1D,2.0,,1,13
PPP1R1B,PPP1R1B,2.0,,0,2
PPP1R9B,PPP1R9B,1.0,1.5,0,7
PPP2CA,PPP2CA,,,1,7
PPP2R1A,PPP2R1A,3.0,,0,7
PPP2R1B,PPP2R1B,2.0,,0,9
PPP2R5C,PPP2R5C,3.0,,1,6
PPP2R5D,PPP2R5D,1.0,8.5,1,45
PPP3CA,PPP3CA,3.0,,1,16
PPP5C,PPP5C,1.0,1.0,0,3
PREX1,PREX1,2.0,,0,9
PRICKLE1,PRICKLE1,2.0,,0,7
PRICKLE2,PRICKLE2,2.0,,0,10
PRKAR1B,PRKAR1B,2.0,,0,9
PRKCA,PRKCA,2.0,,0,7
PRKCB,PRKCB,2.0,,0,9
PRKD1,PRKD1,,,1,7
PRKD2,PRKD2,2.0,,0,5
PRKDC,PRKDC,2.0,,0,10
PRKN,PRKN,2.0,,0,20
PRODH,PRODH,2.0,,1,10
PRPF19,PRPF19,3.0,,0,4
PRPF39,PRPF39,2.0,,0,3
PRPF8,PRPF8,3.0,,1,13
PRR12,PRR12,1.0,,1,12
PRR14L,PRR14L,1.0,5.0,0,6
PRUNE2,PRUNE2,2.0,,0,12
PSMC5,PSMC5,3.0,,0,4
PSMD11,PSMD11,1.0,,0,4
PSMD12,PSMD12,1.0,6.0,1,8
PSMD6,PSMD6,1.0,8.3,0,4
PTBP2,PTBP2,2.0,,0,9
PTCH1,PTCH1,3.0,,0,15
PTCHD1,PTCHD1,1.0,5.2,0,26
PTDSS1,PTDSS1,3.0,,0,6
PTEN,PTEN,1.0,63.15,1,133
PTGS2,PTGS2,2.0,,0,8
PTK7,PTK7,1.0,,0,10
PTPN11,PTPN11,1.0,,1,34
PTPN4,PTPN4,,,1,5
PTPRB,PTPRB,2.0,,0,7
PTPRC,PTPRC,2.0,,0,12
PTPRD,PTPRD,2.0,,0,15
PTPRS,PTPRS,3.0,,0,11
PTPRT,PTPRT,2.0,,0,13
PUF60,PUF60,3.0,,1,6
PXDN,PXDN,2.0,,0,11
PYHIN1,PYHIN1,2.0,,0,5
QRICH1,QRICH1,2.0,,0,16
RAB11FIP4,RAB11FIP4,3.0,,0,3
RAB11FIP5,RAB11FIP5,2.0,,0,6
RAB2A,RAB2A,2.0,,0,8
RAB39B,RAB39B,2.0,,0,19
RAB43,RAB43,2.0,,0,2
RAC1,RAC1,,,1,13
RAD21,RAD21,,,1,9
RAD21L1,RAD21L1,2.0,,0,4
RAI1,RAI1,1.0,12.25,1,45
RALA,RALA,,,1,7
RALGAPA1,RALGAPA1,3.0,,0,7
RALGAPB,RALGAPB,1.0,,0,7
RANBP17,RANBP17,2.0,,0,13
RANBP9,RANBP9,3.0,,0,7
RAP1A,RAP1A,3.0,,0,4
RAPGEF2,RAPGEF2,3.0,,0,5
RAPGEF4,RAPGEF4,2.0,,0,18
RASSF5,RASSF5,2.0,,0,4
RBBP5,RBBP5,2.0,,0,5
RBFOX1,RBFOX1,2.0,,0,46
RBM27,RBM27,2.0,,0,6
REEP3,REEP3,2.0,,0,3
RELN,RELN,1.0,7.2,0,69
RERE,RERE,1.0,6.5,1,24
RFX3,RFX3,1.0,15.95,0,14
RFX4,RFX4,3.0,,1,3
RFX7,RFX7,3.0,,1,5
RGS7,RGS7,2.0,,0,6
RHEB,RHEB,,,1,3
RHOXF1,RHOXF1,2.0,,0,3
RICTOR,RICTOR,3.0,,0,4
RIMS1,RIMS1,1.0,11.35,0,15
RIMS2,RIMS2,3.0,,1,8
RIMS3,RIMS3,2.0,,0,4
RIT2,RIT2,2.0,,0,3
RLIM,RLIM,,,1,7
RNF135,RNF135,2.0,,1,5
RNF38,RNF38,2.0,,0,2
ROBO2,ROBO2,2.0,,0,12
RORA,RORA,,,1,26
RORB,RORB,1.0,8.25,1,17
RPH3A,RPH3A,3.0,,0,9
RPL10,RPL10,2.0,,0,14
RPS6KA2,RPS6KA2,2.0,,0,5
RPS6KA3,RPS6KA3,2.0,,1,22
RSF1,RSF1,3.0,,0,5
RSRC1,RSRC1,,,1,9
RUNX1T1,RUNX1T1,1.0,,0,4
SACS,SACS,2.0,,0,12
SAE1,SAE1,2.0,,0,4
SATB1,SATB1,1.0,2.5,1,7
SATB2,SATB2,1.0,24.95,1,56
SBF1,SBF1,2.0,,0,13
SCAF1,SCAF1,2.0,,0,4
SCAF4,SCAF4,2.0,,1,8
SCGN,SCGN,3.0,,0,4
SCN1A,SCN1A,1.0,,1,119
SCN2A,SCN2A,1.0,109.3,0,167
SCN3A,SCN3A,3.0,,0,15
SCN4A,SCN4A,2.0,,0,9
SCN8A,SCN8A,1.0,,0,72
SCN9A,SCN9A,2.0,,0,16
SCP2,SCP2,2.0,,0,3
SDC2,SDC2,2.0,,0,4
SEMA5A,SEMA5A,2.0,,0,23
SENP1,SENP1,3.0,,0,3
SENP6,SENP6,3.0,,0,4
SERPINE1,SERPINE1,2.0,,0,4
SET,SET,2.0,4.0,0,9
SETBP1,SETBP1,1.0,,0,44
SETD1A,SETD1A,1.0,4.35,1,21
SETD1B,SETD1B,2.0,,1,29
SETD2,SETD2,1.0,,0,34
SETD5,SETD5,1.0,28.05,1,57
SETDB1,SETDB1,2.0,,0,6
SETDB2,SETDB2,2.0,,0,4
SEZ6L2,SEZ6L2,2.0,,0,8
SF1,SF1,1.0,,0,2
SF3B1,SF3B1,2.0,,0,7
SF3B3,SF3B3,2.0,,0,6
SGSH,SGSH,,,1,11
SGSM3,SGSM3,2.0,,0,11
SH3RF1,SH3RF1,3.0,,0,8
SH3RF3,SH3RF3,2.0,,0,6
SHANK1,SHANK1,2.0,14.65,0,22
SHANK2,SHANK2,1.0,18.55,0,64
SHANK3,SHANK3,1.0,74.85,1,199
SHOX,SHOX,2.0,,0,3
SIK1,SIK1,,,1,8
SIN3A,SIN3A,1.0,,1,19
SIN3B,SIN3B,2.0,,1,9
SKI,SKI,1.0,4.25,0,10
SLC12A5,SLC12A5,2.0,,0,10
SLC1A1,SLC1A1,2.0,,0,16
SLC1A2,SLC1A2,3.0,,0,13
SLC22A9,SLC22A9,2.0,,0,8
SLC23A1,SLC23A1,3.0,,0,8
SLC24A2,SLC24A2,2.0,,0,5
SLC25A12,SLC25A12,2.0,,0,26
SLC25A27,SLC25A27,2.0,,0,1
SLC27A4,SLC27A4,2.0,,0,4
SLC29A4,SLC29A4,2.0,,0,2
SLC35G1,SLC35G1,2.0,,0,4
SLC38A10,SLC38A10,2.0,,0,4
SLC45A1,SLC45A1,,,1,8
SLC4A10,SLC4A10,2.0,,0,11
SLC6A1,SLC6A1,1.0,31.15,1,68
SLC6A3,SLC6A3,2.0,,0,19
SLC6A4,SLC6A4,2.0,,0,32
SLC6A8,SLC6A8,2.0,,0,28
SLC7A3,SLC7A3,2.0,,0,3
SLC7A5,SLC7A5,2.0,,0,6
SLC7A7,SLC7A7,2.0,,0,9
SLC9A1,SLC9A1,3.0,,1,8
SLC9A6,SLC9A6,1.0,,1,24
SLC9A9,SLC9A9,2.0,,0,19
SLCO1B3,SLCO1B3,2.0,,0,8
SLITRK2,SLITRK2,,,1,8
SLITRK5,SLITRK5,2.0,,0,11
SMAD4,SMAD4,2.0,,0,16
SMAP2,SMAP2,2.0,,0,5
SMARCA1,SMARCA1,1.0,,0,5
SMARCA2,SMARCA2,1.0,,1,32
SMARCA4,SMARCA4,1.0,,0,29
SMARCC2,SMARCC2,1.0,10.0,1,23
SMC1A,SMC1A,,,1,21
SMC3,SMC3,2.0,,1,16
SMG6,SMG6,2.0,,0,6
SMURF1,SMURF1,2.0,,0,4
SNAP25,SNAP25,2.0,,0,15
SNCAIP,SNCAIP,3.0,,0,3
SND1,SND1,2.0,,0,11
SNTG2,SNTG2,2.0,,0,7
SNX14,SNX14,,,1,12
SNX5,SNX5,2.0,,0,6
SOD1,SOD1,2.0,,0,4
SON,SON,1.0,11.0,1,31
SORCS3,SORCS3,2.0,,0,7
SOS2,SOS2,1.0,0.85,0,7
SOX5,SOX5,1.0,17.6,1,27
SOX6,SOX6,,,1,6
SPARCL1,SPARCL1,2.0,,0,5
SPAST,SPAST,1.0,8.1,0,20
SPEN,SPEN,2.0,,0,22
SPP2,SPP2,2.0,,0,4
SPRY2,SPRY2,2.0,,0,5
SPTAN1,SPTAN1,3.0,,0,13
SPTBN1,SPTBN1,2.0,,1,18
SRCAP,SRCAP,1.0,,0,22
SRGAP3,SRGAP3,2.0,,0,6
SRPRA,SRPRA,1.0,4.75,0,4
SRRM2,SRRM2,2.0,,1,16
SRSF1,SRSF1,3.0,,1,4
SRSF11,SRSF11,2.0,,0,6
SSR4,SSR4,3.0,,0,4
SSRP1,SSRP1,2.0,,0,3
ST7,ST7,2.0,,0,4
ST8SIA2,ST8SIA2,2.0,,0,13
STAG1,STAG1,,,1,12
STK39,STK39,2.0,,0,5
STX1A,STX1A,2.0,,0,7
STXBP1,STXBP1,1.0,19.1,1,86
STXBP5,STXBP5,2.0,,0,9
STYK1,STYK1,2.0,,0,5
SUPT16H,SUPT16H,2.0,,1,11
SYAP1,SYAP1,2.0,,0,2
SYBU,SYBU,3.0,,0,2
SYCE1,SYCE1,3.0,,0,3
SYN1,SYN1,1.0,2.35,0,33
SYN2,SYN2,2.0,,0,7
SYNCRIP,SYNCRIP,2.0,,0,10
SYNE1,SYNE1,2.0,,0,28
SYNGAP1,SYNGAP1,1.0,40.75,1,132
SYNJ1,SYNJ1,2.0,,0,3
SYP,SYP,3.0,,0,6
SYT1,SYT1,,,1,14
SYT17,SYT17,2.0,,0,6
TAF1,TAF1,,,1,18
TAF1C,TAF1C,2.0,,0,6
TAF4,TAF4,2.0,,1,8
TAF6,TAF6,2.0,,0,9
TANC2,TANC2,1.0,24.95,1,24
TAOK1,TAOK1,1.0,8.25,1,14
TAOK2,TAOK2,2.0,,0,14
TBC1D23,TBC1D23,,,1,7
TBC1D31,TBC1D31,2.0,,0,7
TBC1D5,TBC1D5,2.0,,0,12
TBCB,TBCB,3.0,,0,3
TBCEL,TBCEL,1.0,5.6,0,3
TBCK,TBCK,1.0,1.0,1,6
TBL1X,TBL1X,2.0,,0,1
TBL1XR1,TBL1XR1,1.0,9.15,0,37
TBR1,TBR1,1.0,10.85,0,51
TBX1,TBX1,,,1,7
TBX22,TBX22,3.0,,0,2
TCEAL1,TCEAL1,3.0,,1,5
TCF12,TCF12,3.0,,0,10
TCF20,TCF20,1.0,38.0,1,38
TCF4,TCF4,1.0,13.5,1,84
TCF7L2,TCF7L2,1.0,2.1,0,14
TDO2,TDO2,2.0,,0,5
TECTA,TECTA,2.0,,0,11
TEK,TEK,1.0,2.0,0,5
TERB2,TERB2,2.0,,0,1
TERF2,TERF2,2.0,,0,8
TET2,TET2,2.0,,0,8
TET3,TET3,,,1,10
TFB2M,TFB2M,3.0,,0,1
TFE3,TFE3,,,1,8
TGM1,TGM1,3.0,,0,5
THBS1,THBS1,2.0,,0,6
THRA,THRA,2.0,,0,6
TLE3,TLE3,1.0,,0,6
TLK2,TLK2,1.0,13.5,1,30
TLN2,TLN2,3.0,,0,10
TM4SF19,TM4SF19,2.0,,0,5
TM4SF20,TM4SF20,,,1,4
TMLHE,TMLHE,2.0,,0,11
TNPO3,TNPO3,3.0,6.35,0,10
TNRC6B,TNRC6B,2.0,,0,25
TNRC6C,TNRC6C,2.0,,0,7
TNS2,TNS2,3.0,,0,5
TOP2B,TOP2B,2.0,,0,9
TOP3B,TOP3B,2.0,,0,10
TPO,TPO,2.0,,0,3
TRAF7,TRAF7,1.0,3.5,1,11
TRAP1,TRAP1,3.0,,0,4
TRAPPC2L,TRAPPC2L,3.0,,0,4
TRAPPC6B,TRAPPC6B,,,1,9
TRAPPC9,TRAPPC9,2.0,,0,29
TRIM23,TRIM23,1.0,,0,8
TRIM32,TRIM32,3.0,,0,5
TRIM33,TRIM33,2.0,,0,3
TRIM8,TRIM8,3.0,,1,7
TRIO,TRIO,1.0,,0,61
TRIP12,TRIP12,1.0,27.0,1,51
TRPC4,TRPC4,3.0,,0,6
TRPC5,TRPC5,3.0,,0,10
TRPC6,TRPC6,2.0,7.2,0,7
TRPM1,TRPM1,2.0,,0,7
TRPM3,TRPM3,,,1,15
TRPM6,TRPM6,3.0,,0,6
TRPM7,TRPM7,3.0,,0,8
TRRAP,TRRAP,1.0,,1,25
TSC1,TSC1,1.0,17.1,1,41
TSC2,TSC2,1.0,,1,72
TSHZ1,TSHZ1,1.0,,0,6
TSHZ3,TSHZ3,1.0,,0,8
TSPAN4,TSPAN4,2.0,,0,5
TSPAN7,TSPAN7,2.0,,0,12
TSPOAP1,TSPOAP1,2.0,,0,9
TSPYL2,TSPYL2,3.0,,0,7
TTI2,TTI2,,,1,3
TTN,TTN,2.0,,1,38
TUBGCP5,TUBGCP5,2.0,,0,6
U2AF2,U2AF2,3.0,,0,8
UBA7,UBA7,2.0,,0,4
UBAP2L,UBAP2L,1.0,,0,5
UBE2H,UBE2H,2.0,,0,3
UBE3A,UBE3A,1.0,,1,59
UBE3C,UBE3C,2.0,,0,8
UBN2,UBN2,2.0,,0,5
UBR1,UBR1,1.0,1.6,0,6
UBR3,UBR3,2.0,,0,7
UBR5,UBR5,2.0,18.45,0,15
UGGT1,UGGT1,3.0,,1,5
UIMC1,UIMC1,2.0,,0,6
UNC13A,UNC13A,2.0,,1,13
UNC5D,UNC5D,3.0,,0,6
UNC79,UNC79,2.0,,0,11
UNC80,UNC80,2.0,,0,13
UPF2,UPF2,2.0,,0,10
UPF3B,UPF3B,1.0,,1,20
USH2A,USH2A,2.0,,0,14
USP15,USP15,2.0,,0,6
USP24,USP24,3.0,,0,14
USP27X,USP27X,3.0,,0,7
USP30,USP30,3.0,,0,4
USP45,USP45,2.0,,0,8
USP7,USP7,2.0,,1,20
USP9X,USP9X,1.0,,1,23
USP9Y,USP9Y,2.0,,0,2
VAMP2,VAMP2,,,1,4
VASH1,VASH1,2.0,,0,5
VCP,VCP,3.0,,0,7
VEZF1,VEZF1,1.0,0.5,0,4
VPS13B,VPS13B,1.0,6.35,1,36
VPS54,VPS54,3.0,,0,4
VSIG4,VSIG4,2.0,,0,4
VWA7,VWA7,3.0,,0,3
WAC,WAC,1.0,15.0,1,37
WASF1,WASF1,,,1,5
WDFY3,WDFY3,1.0,17.2,0,29
WDFY4,WDFY4,2.0,,0,15
WDR26,WDR26,,,1,13
WDR37,WDR37,3.0,,0,7
WDR5,WDR5,,,1,3
WNK3,WNK3,2.0,,0,9
WNT1,WNT1,2.0,,0,6
WWOX,WWOX,2.0,,0,18
WWP1,WWP1,3.0,,0,2
XPC,XPC,,,1,14
XPO1,XPO1,2.0,,0,12
XRCC6,XRCC6,3.0,,0,3
YEATS2,YEATS2,2.0,,0,5
YTHDC2,YTHDC2,2.0,,0,9
YWHAE,YWHAE,2.0,,0,5
YWHAG,YWHAG,3.0,,1,16
YWHAZ,YWHAZ,3.0,,0,16
YY1,YY1,1.0,,1,12
ZBTB16,ZBTB16,2.0,,0,4
ZBTB18,ZBTB18,,,1,17
ZBTB20,ZBTB20,1.0,,1,34
ZBTB21,ZBTB21,1.0,2.25,0,5
ZBTB7A,ZBTB7A,,,1,3
ZC3H11A,ZC3H11A,2.0,,0,5
ZC3H4,ZC3H4,2.0,,0,9
ZEB2,ZEB2,3.0,,0,9
ZFHX3,ZFHX3,3.0,,1,16
ZFHX4,ZFHX4,3.0,,1,6
ZFX,ZFX,3.0,,1,5
ZFYVE26,ZFYVE26,2.0,,0,7
ZFYVE9,ZFYVE9,3.0,,0,7
ZMIZ1,ZMIZ1,2.0,,1,15
ZMYM2,ZMYM2,2.0,,1,12
ZMYM3,ZMYM3,,,1,10
ZMYND11,ZMYND11,2.0,,0,20
ZMYND8,ZMYND8,1.0,4.5,1,9
ZNF18,ZNF18,2.0,,0,3
ZNF292,ZNF292,1.0,,1,19
ZNF385B,ZNF385B,2.0,,0,4
ZNF462,ZNF462,1.0,10.6,1,21
ZNF517,ZNF517,2.0,,0,6
ZNF532,ZNF532,3.0,,0,5
ZNF536,ZNF536,3.0,,0,12
ZNF548,ZNF548,2.0,,0,5
ZNF559,ZNF559,2.0,,0,10
ZNF644,ZNF644,3.0,,0,5
ZNF711,ZNF711,2.0,4.25,0,5
ZNF713,ZNF713,2.0,,0,4
ZNF774,ZNF774,2.0,,0,5
ZNF804A,ZNF804A,2.0,,0,18
ZNF827,ZNF827,2.0,,0,5
ZNF865,ZNF865,1.0,,0,5
ZSWIM6,ZSWIM6,,,1,9
ZWILCH,ZWILCH,2.0,,0,5
